best_algorithm,compared_with,statistic,p_value,best_mean_score,other_mean_score
GradientBoosting,RandomForest,25.0,0.001689910888671875,0.6763457879706156,0.6296783277838542
GradientBoosting,SVM,28.0,0.002712249755859375,0.6763457879706156,0.5951076930038854
GradientBoosting,kNN,5.0,1.9073486328125e-05,0.6763457879706156,0.5663308734446991
GradientBoosting,NeuralNetwork,47.0,0.029575347900390625,0.6763457879706156,0.6202489007098546
